year,team_code,team_name,spring_G,spring_W,spring_wpct,spring_rs_pg,spring_ra_pg,spring_rd_pg,spring_pyth,reg10_G,reg10_W,reg10_wpct,reg10_rs_pg,reg10_ra_pg,reg10_rd_pg,reg10_pyth,reg20_G,reg20_W,reg20_wpct,reg20_rs_pg,reg20_ra_pg,reg20_rd_pg,reg20_pyth,regfull_G,regfull_W,regfull_wpct,regfull_rs_pg,regfull_ra_pg,regfull_rd_pg,regfull_pyth
2025,1001,삼성,9,3.0,0.3333333333333333,4.777777777777778,6.333333333333333,-1.5555555555555556,0.3738377581101431,10,6.0,0.6,7.0,4.7,2.3,0.6745805625337223,20,10.0,0.5,5.6,4.4,1.2,0.6085750789520937,144,75.0,0.5208333333333334,5.381944444444445,4.493055555555555,0.8888888888888888,0.5818434702977563
2025,2002,KIA,8,5.0,0.625,5.75,3.75,2.0,0.6861589259367581,10,4.0,0.4,5.3,5.5,-0.2,0.48306010410537403,20,9.0,0.45,4.35,5.1,-0.75,0.4277374317933316,144,67.0,0.4652777777777778,4.638888888888889,5.097222222222222,-0.4583333333333333,0.45700043779974736
2025,3001,롯데,8,3.0,0.375,2.125,3.125,-1.0,0.33053588340625467,10,4.5,0.45,2.7,4.3,-1.6,0.2990942372473603,20,9.5,0.475,4.2,5.25,-1.05,0.39930717874859106,144,69.0,0.4791666666666667,4.694444444444445,5.201388888888889,-0.5069444444444444,0.45322244299049685
2025,5002,LG,9,4.0,0.4444444444444444,4.555555555555555,4.555555555555555,0.0,0.5,10,9.0,0.9,7.3,2.5,4.8,0.8766409202683936,20,16.0,0.8,6.35,2.65,3.7,0.8319104830999445,144,86.5,0.6006944444444444,5.472222222222222,4.055555555555555,1.4166666666666667,0.6337324316447555
2025,6002,두산,9,4.0,0.4444444444444444,4.444444444444445,4.777777777777778,-0.3333333333333333,0.46696150755559845,10,4.0,0.4,3.3,4.5,-1.2,0.36179460203954317,20,9.0,0.45,4.7,4.75,-0.05,0.4951588362720649,144,64.0,0.4444444444444444,4.493055555555555,4.763888888888889,-0.2708333333333333,0.47324748790983456
2025,7002,한화,8,5.5,0.6875,3.75,2.25,1.5,0.7180502909748409,10,3.0,0.3,2.8,4.0,-1.2,0.34237794616434414,20,9.0,0.45,3.75,4.1,-0.35,0.4592672263660311,144,85.0,0.5902777777777778,4.784722222222222,3.8472222222222223,0.9375,0.598466636026544
2025,9002,SSG,8,3.0,0.375,4.125,5.125,-1.0,0.40197851377316396,10,7.0,0.7,3.7,2.9,0.8,0.6096469448065929,20,9.0,0.45,3.5,4.3,-0.8,0.40692082827321197,144,77.0,0.5347222222222222,4.229166666666667,4.0,0.22916666666666666,0.5254655493603038
2025,10001,키움,10,6.5,0.65,4.0,4.0,0.0,0.5,10,4.0,0.4,5.8,7.1,-1.3,0.4085184371554813,20,7.0,0.35,4.65,6.8,-2.15,0.3328103859017016,144,49.0,0.3402777777777778,4.034722222222222,5.972222222222222,-1.9375,0.32790133724190834
2025,11001,NC,8,2.0,0.25,4.0,5.5,-1.5,0.35829539066932936,10,5.0,0.5,5.5,7.2,-1.7,0.3792155204517949,20,8.0,0.4,4.6,6.25,-1.65,0.36332974843728305,144,74.0,0.5138888888888888,5.083333333333333,5.319444444444445,-0.2361111111111111,0.4792406831157289
2025,12001,KT,7,6.0,0.8571428571428571,6.571428571428571,4.142857142857143,2.4285714285714284,0.6993621637883942,10,5.5,0.55,3.9,3.4,0.5,0.5624418285064707,20,10.5,0.525,3.3,3.1,0.2,0.5285719025431939,144,73.5,0.5104166666666666,4.5,4.5625,-0.0625,0.49368989016008885
